DNI ENCRIPTADO,RESPUESTAS TEXTUALES_1,RESPUESTAS TEXTUALES_2,RESPUESTAS TEXTUALES_3,RESPUESTAS TEXTUALES_4,RESPUESTAS TEXTUALES_5,RESPUESTAS TEXTUALES_6,RESPUESTAS TEXTUALES_7,RESPUESTAS TEXTUALES_8,RESPUESTAS TEXTUALES_9,RESPUESTAS TEXTUALES_10,RESPUESTAS TEXTUALES_11,RESPUESTAS TEXTUALES_12,RESPUESTAS TEXTUALES_13,RESPUESTAS TEXTUALES_14,RESPUESTAS TEXTUALES_15,RESPUESTAS TEXTUALES_16,RESPUESTAS TEXTUALES_17,RESPUESTAS TEXTUALES_18,RESPUESTAS TEXTUALES_19,RESPUESTAS TEXTUALES_20,RESPUESTAS TEXTUALES_21,RESPUESTAS TEXTUALES_22,RESPUESTAS TEXTUALES_23,RESPUESTAS TEXTUALES_24,RESPUESTAS TEXTUALES_25,RESPUESTAS TEXTUALES_26,RESPUESTAS TEXTUALES_27,RESPUESTAS TEXTUALES_28,RESPUESTAS TEXTUALES_29,RESPUESTAS TEXTUALES_30,RESPUESTA NUMERICA_1,RESPUESTA NUMERICA_2,RESPUESTA NUMERICA_3,RESPUESTA NUMERICA_4,RESPUESTA NUMERICA_5,RESPUESTA NUMERICA_6,RESPUESTA NUMERICA_7,RESPUESTA NUMERICA_8,RESPUESTA NUMERICA_9,RESPUESTA NUMERICA_10,RESPUESTA NUMERICA_11,RESPUESTA NUMERICA_12,RESPUESTA NUMERICA_13,RESPUESTA NUMERICA_14,RESPUESTA NUMERICA_15,RESPUESTA NUMERICA_16,RESPUESTA NUMERICA_17,RESPUESTA NUMERICA_18,RESPUESTA NUMERICA_19,RESPUESTA NUMERICA_20,RESPUESTA NUMERICA_21,RESPUESTA NUMERICA_22,RESPUESTA NUMERICA_23,RESPUESTA NUMERICA_24,RESPUESTA NUMERICA_25,RESPUESTA NUMERICA_26,RESPUESTA NUMERICA_27,RESPUESTA NUMERICA_28,RESPUESTA NUMERICA_29,RESPUESTA NUMERICA_30,SUM_PUNTAJES_INTRAPERSONAL,SUM_PUNTAJES_INTERPERSONALES,SUM_PUNTAJES_MANEJO_ESTRES,SUM_PUNTAJES_ADAPTABILIDAD,SUM_IMPRESION_POSITIVA,TOTAL_COC_EMOCIONAL,INTRAPERSONAL_MEDIA,INTRAPERSONAL_DESVIACION,INTERPERSONAL_MEDIA,INTERPERSONAL_DESVIACION,MANEJO_ESTRES_MEDIA,MANEJO_ESTRES_DESVIACION,ADAPTABILIDAD_MEDIA,ADAPTABILIDAD_DESVIACION,IMPRESION_POSITIVA_MEDIA,IMPRESION_POSITIVA_DESVIACION,TOTAL_COC_EMOCIONAL_MEDIA,TOTAL_COC_ECOCIONAL_DESVIACION,CONVERSION_FINAL_INTRAPERSONAL,CONVERSION_FINAL_INTEPERSONAL,CONVERSION_FINAL_MANEJO_ESTRES,CONVERSION_FINAL_APDAPTABILIDAD,CONVERSION_FINAL_IMPRESIÓN POSITIVA,CONVERSION_FINAL_TOTAL_COC_EMOC,Fecha de nacimiento de Champ,Edad de Champ,Sede de Champ,Grado de Champ,"Champ tiene alguna alergia, condición o enfermedad",Champ para talleres virtuales se puede conectar de,¿Qué tema te interesa Champ?,"¿Con quienes vives?
Por ejemplo: Con mi padres y hermanos",¿Cuáles son tus pasatiempos favoritos?  Por ejemplo: Leer y jugar videojuegos,"¿Cuáles son tus cursos favoritos?
Por ejemplo: Matemática y Comunicación","¿Cuál es tu deporte favorito?
Por ejemplo: Fútbol","¿Qué te gustaría estudiar o ser de grande?
Por ejemplo: Doctor",¿Qué te gustaría hacer para mejorar el Perú?,¿Te gustaría estudiar en una universidad extranjera?,"Cuéntanos si ganaste un reconocimiento, concurso, beca, tienes una organización o has sido voluntario/a en el 2023","En Perú Champs nos preocupa tu bienestar. ¿Hay algo que quieras compartirnos sobre algo que fue difícil en el 2023, algo que te hiciera sentir triste o frustrado/a? Este espacio es confidencial y no afecta tu beca",¿Tiene otro champ?,DNI DEL APODERADO ENCRIPTADO,Qué relación tiene con Champ,Su Champ tiene un apoderada/o adicional a Usted,¿Tienes un negocio propio o emprendimiento?,La conexión a Internet en su casa es,Tu internet es,"¿Algún familiar con el que viva tiene alguna condición, discapacidad o enfermedad crónica que requiera de cuidados constante?",Cuéntanos brevemente cómo se encuentran actualmente,¿Quién apoya a su Champ con sus tareas?,SEXO,EDAD,GRADO,SEDE,REGIÓN,ORIGEN,ESTADO,AÑO DE INGRESO,SALUD,MODALIDAD DE INGRESO,DNI PAPÁ ENCRIPTADO,DNI MAMÁ ENCRIPTADO,NRE (NIVEL DE RIESGO EMOCIONAL),CANTERA,CONDICIÓN DE SALUD,¿Qué tema te interesa Champ?_cuestionario,"¿Con quienes vives?
Por ejemplo: Con mi padres y hermanos_cuestionario",¿Cuáles son tus pasatiempos favoritos?  Por ejemplo: Leer y jugar videojuegos_cuestionario,"¿Cuáles son tus cursos favoritos?
Por ejemplo: Matemática y Comunicación_cuestionario","¿Cuál es tu deporte favorito?
Por ejemplo: Fútbol_cuestionario","¿Qué te gustaría estudiar o ser de grande?
Por ejemplo: Doctor_cuestionario",¿Qué te gustaría hacer para mejorar el Perú?_cuestionario,¿Te gustaría estudiar en una universidad extranjera?_cuestionario,"Cuéntanos si ganaste un reconocimiento, concurso, beca, tienes una organización o has sido voluntario/a en el 2023_cuestionario","En Perú Champs nos preocupa tu bienestar. ¿Hay algo que quieras compartirnos sobre algo que fue difícil en el 2023, algo que te hiciera sentir triste o frustrado/a? Este espacio es confidencial y no afecta tu beca_cuestionario",GRADO_notas,SEDE_notas,CANTERA_notas,Matemática,Comunicación,Inglés,Ciencias,Dpsc,Educación Física,Arte,Conducta,PROMEDIO,PREFINAL,POR CURSO,NRA
RWYDRISA,Muy a menudo,A menudo,A menudo,Muy a menudo,Rara Vez,A menudo,A menudo,Muy rara vez,Muy rara vez,Muy a menudo,A menudo,Muy rara vez,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Rara vez,Muy a menudo,A menudo,Muy a menudo,A menudo,Muy a menudo,A menudo,Muy a menudo,A menudo,Rara vez,Rara vez,A menudo,Rara vez,A menudo,4,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,19,21,20,23,20,103,14.42,3.35,19.57,3.34,17.36,3.83,17.71,4.32,16.49,3.01,69.07,8.48,121,106,110,118,117,160,2015-02-03 00:00:00,9,VILLA EL SALVADOR 2 (cruce de la Av. Vallejo con Ruta E),4to,Ninguno,"Celular, Computadora",Salud y bienestar,Con mis padres y hermanos.,jugar y nadar,matematicas y arte,voley y futbol,abogada,Mejorar las cosechas y cuidar el medio ambiente.  ,Sí,Gane un reconocimiento por mi desempeño en el aula.,"El cambio de sede me puso triste, pero me recibieron muy felices en la nueva sede.",No,RZYWDIAA,Mamá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,Nos encontramos bien. ,Mamá,F,9.0,Cuarto,VES Vallejo,Lima,Renovación,Matriculado,2022.0,Ninguno,Académica,INDSYAZZ,RZYWDIAA,BAJO,Académica,Ninguno,Salud y bienestar,Con mis padres y hermanos.,jugar y nadar,matematicas y arte,voley y futbol,abogada,Mejorar las cosechas y cuidar el medio ambiente.,Sí,Gane un reconocimiento por mi desempeño en el aula.,"El cambio de sede me puso triste, pero me recibieron muy felices en la nueva sede.",Tercero,Villa El Salvador - Laderas de Villa,Académica,18.8,18.0,16.5,18.0,18.8,18.6,18.0,18.2,18.1,18.0,APROBADO,BAJO
RWYDRISA,Muy a menudo,A menudo,A menudo,Muy a menudo,Rara Vez,A menudo,A menudo,Muy rara vez,Muy rara vez,Muy a menudo,A menudo,Muy rara vez,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Rara vez,Muy a menudo,A menudo,Muy a menudo,A menudo,Muy a menudo,A menudo,Muy a menudo,A menudo,Rara vez,Rara vez,A menudo,Rara vez,A menudo,4,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,19,21,20,23,20,103,14.42,3.35,19.57,3.34,17.36,3.83,17.71,4.32,16.49,3.01,69.07,8.48,121,106,110,118,117,160,2015-02-03 00:00:00,8,VILLA EL SALVADOR 2 (cruce de la Av. Vallejo con Ruta E),4to,Ninguno,Computadora,Salud y bienestar,Con mis padres y hermanos.,"Leer, jugar y dibujar.","Arte, matemáticas y comunicación. ",Basket.,Veterinaria.,Creando albergues para personas sin hogar.,Sí,No.,Me puso triste el cambio de sede.,No,RZYWDIAA,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet propio,Estable,No,Bien,Lo realiza solo/a,F,9.0,Cuarto,VES Vallejo,Lima,Renovación,Matriculado,2022.0,Ninguno,Académica,INDSYAZZ,RZYWDIAA,BAJO,Académica,Ninguno,Salud y bienestar,Con mis padres y hermanos.,jugar y nadar,matematicas y arte,voley y futbol,abogada,Mejorar las cosechas y cuidar el medio ambiente.,Sí,Gane un reconocimiento por mi desempeño en el aula.,"El cambio de sede me puso triste, pero me recibieron muy felices en la nueva sede.",Tercero,Villa El Salvador - Laderas de Villa,Académica,18.8,18.0,16.5,18.0,18.8,18.6,18.0,18.2,18.1,18.0,APROBADO,BAJO
RWNWAWYR,Muy a menudo,Rara Vez,A menudo,Muy a menudo,Muy rara vez,Rara Vez,Muy a menudo,Muy rara vez,Muy rara vez,A menudo,Muy a menudo,Rara vez,A menudo,Rara vez,Muy a menudo,A menudo,Muy rara vez,Muy a menudo,A menudo,Muy a menudo,Rara vez,A menudo,A menudo,Muy a menudo,Rara vez,Rara vez,Muy rara vez,Muy rara vez,Rara vez,A menudo,4,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0,14,19,23,19,21,96,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,96,102,118,107,119,144,2014-07-22 00:00:00,9,SAN MIGUEL LA PAZ 1 (REF. San Miguel),4to,Ninguno,Laptop,Acción por el clima,Mi mamá y mi hermano,Jugar videojuegos y dibujar,Inglés y arte,Basquet y fútbol ,Chef (reposteria),Ayudar al medio ambiente,Sí,Si participe en talleres de Peru champs,Adaptarme con los demás ,No,INSIZIAW,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet propio,Estable,Sí,Mi tío es discapacitado pero esta estable.,Tías,M,9.0,Cuarto,San Miguel La Paz 1,Lima,Renovación,Matriculado,2023.0,Ninguno,Empresa (Académica),IDIWSSRY,INSIZIAW,BAJO,Empresa (Académica),Ninguno,Acción por el clima,Mi mamá y mi hermano,Jugar videojuegos y dibujar,Inglés y arte,Basquet y fútbol,Chef (reposteria),Ayudar al medio ambiente,Sí,Si participe en talleres de Peru champs,Adaptarme con los demás,Tercero,San Miguel La Paz 1,Empresa,14.0,17.0,15.8,17.2,17.1,18.2,18.5,17.3,16.82857143,17.0,APROBADO,BAJO
RWDIIYNW,Muy a menudo,Rara Vez,Muy a menudo,Muy a menudo,Muy rara vez,A menudo,Muy a menudo,Muy rara vez,Muy rara vez,Muy a menudo,Muy a menudo,Rara vez,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Muy rara vez,Rara vez,Muy a menudo,Muy a menudo,Rara vez,Muy a menudo,Muy a menudo,Muy a menudo,Rara vez,Rara vez,Muy rara vez,Muy a menudo,Muy rara vez,Muy a menudo,4,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,16,22,24,24,22,108,13.68,3.32,19.47,3.15,17.03,3.38,17.5,3.92,15.73,2.76,67.88,8.66,110,112,131,125,134,169,2014-03-20 00:00:00,10,SJM (REF. frente al Complejo Deportivo La 14 de Miotta),4to,Ninguno,"Celular, Computadora",Salud y bienestar,"Vivo con mis padres, hermana mayor y hermana menor.","Mis pasatiempos favoritos son jugar básquet, jugar con mis hermanas.y ver películas en familia.","Mis cursos favoritos son Matemática, Educación Física, Arte e Inglés.",Mi deporte favorito es basquet.,Arquitecto o ingeniero civil.,Ser un profesional.,Sí,Gané la beca para poder estar en la preciosa comunidad de Peru Champs,No.,No,IEIINRZD,Mamá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,"Gracias a Dios con salud que es lo mas importante,con dificultades pero piniendo empeño para salir adelante.",Lo realiza solo/a,F,10.0,Cuarto,San Juan de Miraflores,Lima,Renovación,Matriculado,2023.0,Ninguno,Académica,EZADDNIN,IEIINRZD,BAJO,Académica,Ninguno,Salud y bienestar,"Vivo con mis padres, hermana mayor y hermana menor.","Mis pasatiempos favoritos son jugar básquet, jugar con mis hermanas.y ver películas en familia.","Mis cursos favoritos son Matemática, Educación Física, Arte e Inglés.",Mi deporte favorito es basquet.,Arquitecto o ingeniero civil.,Ser un profesional.,Sí,Gané la beca para poder estar en la preciosa comunidad de Peru Champs,No.,Tercero,San Juan de Miraflores,Académica,18.5,18.5,17.5,18.0,18.3,18.0,18.0,18.0,18.11428571,18.0,APROBADO,BAJO
RWWIREEI,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy rara vez,Muy a menudo,Muy a menudo,Muy rara vez,Muy rara vez,Muy a menudo,Rara vez,Rara vez,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Rara vez,A menudo,Muy a menudo,Rara vez,A menudo,Muy a menudo,Rara vez,Muy a menudo,A menudo,Rara vez,Rara vez,A menudo,Muy rara vez,A menudo,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,21,18,22,24,19,104,14.42,3.35,19.57,3.34,17.36,3.83,17.71,4.32,16.49,3.01,69.07,8.48,129,93,118,122,113,162,2014-11-15 00:00:00,9,SMP 2 - CANTA CALLAO (REF. altura de Tottus de la Av. Canta callao),4to,Ninguno,"Celular, Laptop",Igualdad de género,"Con mamá, papá, hermano ","Bailar, hacer postres en familia, dibujar, leer y jugar juegos de mesa en familia","Matemáticas, inglés, proyecto, dpsc, ciencia y comunicación ya que de todos han algo que aprender y me gustan todos","Bailar, natación","Ser chef y dueña de restaurantes, también abogada",Campañas para que la gente se organice mejor y se cumplan las obligaciones de todos como limpieza de la calle donde vivimos y evitar sacar la basura en horas que no pasa el camión. Que las personas no sean corruptas y todos tengan los mismos derechos.,Sí,Gane el tercer puesto en un concurso de baile afro que se origino a raiz de los talleres gratuitos de la Municipalidad de San Martín de Porres y en las clases del aula la profesora me reconoció mi labor de apoyo para mis compañeros.,"Ver mis a mis padres a veces preocupados por temas económicos, en el aula cuando habían niños que decían cosas de mi que no había hecho, cuando había una niña de mi salón que no quería jugar conmigo y me excluía del grupo en el recreo, que un niño me haya dicho que no puedo jugar fútbol porque soy niña y ese juego es solo de niños. Finalmente todos han sido superados gracias al apoyo y confianza que tengo con mis padres.",No,IZSNIAED,Mamá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,"Nos encontramos más tranquilos por saber que renovó la beca nuestra hija, estamos dia a dia apoyando a nuestros 2 hijos para que tengan unas vacaciones reconfortantes y puedan ingresar al colegio con todas las ganas. Continuamos el tratamiento de mi champ en cuanto a sus dientes, tenemos todo este año para continuar llevandola al hospital del niño. Esperamos con todo el optimismo poder lograr un buen año en todo aspecto y poder asumir las responsabilidades que como padres y familia tenemos que cumplir.",Papá y mamá,F,9.0,Cuarto,SMP Canta Callao,Lima,Renovación,Matriculado,2022.0,Ninguno,Académica,IZERDEWW,IZSNIAED,BAJO,Académica,Ninguno,Igualdad de género,"Con mamá, papá, hermano","Bailar, hacer postres en familia, dibujar, leer y jugar juegos de mesa en familia","Matemáticas, inglés, proyecto, dpsc, ciencia y comunicación ya que de todos han algo que aprender y me gustan todos","Bailar, natación","Ser chef y dueña de restaurantes, también abogada",Campañas para que la gente se organice mejor y se cumplan las obligaciones de todos como limpieza de la calle donde vivimos y evitar sacar la basura en horas que no pasa el camión. Que las personas no sean corruptas y todos tengan los mismos derechos.,Sí,Gane el tercer puesto en un concurso de baile afro que se origino a raiz de los talleres gratuitos de la Municipalidad de San Martín de Porres y en las clases del aula la profesora me reconoció mi labor de apoyo para mis compañeros.,"Ver mis a mis padres a veces preocupados por temas económicos, en el aula cuando habían niños que decían cosas de mi que no había hecho, cuando había una niña de mi salón que no quería jugar conmigo y me excluía del grupo en el recreo, que un niño me haya dicho que no puedo jugar fútbol porque soy niña y ese juego es solo de niños. Finalmente todos han sido superados gracias al apoyo y confianza que tengo con mis padres.",Tercero,SMP Canta Callao,Académica,18.3,19.7,17.3,19.2,19.6,18.0,18.8,18.8,18.7,19.0,APROBADO,BAJO
RWDIEIAA,Muy a menudo,Muy rara vez,A menudo,A menudo,A menudo,A menudo,A menudo,Rara Vez,A menudo,Muy a menudo,Rara vez,Muy rara vez,A menudo,Rara vez,A menudo,A menudo,A menudo,A menudo,Muy a menudo,A menudo,Rara vez,A menudo,A menudo,Muy a menudo,Rara vez,A menudo,Rara vez,A menudo,Rara vez,A menudo,4,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,14,19,15,21,16,85,14.17,3.2,18.26,3.26,17.51,3.61,17.54,3.7,15.97,2.93,67.47,8.57,99,103,90,114,100,131,2014-04-03 00:00:00,9,LOS OLIVOS 2 - SANTA ANA (REF. Av. Parque Santa Ana),4to,Asma,Laptop,Salud y bienestar,"Con madre, tios y abuelos","Bailar, jugar con lego ","Matematica, arte",Natacion,Medico,Atender a niños ,Sí,No he participado en concursos,Algunos niños ponen apodos a otros,No,RZRDAYEZ,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet propio,Estable,No,Al igual que mi hijo tengo asma por mis constantes alergias,Abuela y tia,M,10.0,Cuarto,Los Olivos Santa Ana,Lima,Renovación,Matriculado,2023.0,Bronquios,Académica,IEDWEENA,RZRDAYEZ,BAJO,Académica,Asma,Salud y bienestar,"Con madre, tios y abuelos","Bailar, jugar con lego","Matematica, arte",Natacion,Medico,Atender a niños,Sí,No he participado en concursos,Algunos niños ponen apodos a otros,Tercero,Los Olivos 2 - Santa Ana,Académica,18.5,18.0,16.7,18.9,18.7,18.0,18.3,18.7,18.15714286,18.0,APROBADO,BAJO
RWWEARNY,A menudo,Rara Vez,A menudo,Muy a menudo,Rara Vez,Rara Vez,Muy a menudo,Muy rara vez,Muy rara vez,A menudo,Muy a menudo,A menudo,A menudo,A menudo,Muy a menudo,Muy a menudo,Muy rara vez,A menudo,Muy a menudo,A menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Rara vez,Muy rara vez,Muy a menudo,Rara vez,Muy a menudo,3,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,15,22,22,22,21,102,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,101,114,115,117,119,154,2014-10-15 00:00:00,9,SURCO 1 - AMBROSIO (REF. Espalda de la Av. Lima),4to,Ninguno,Laptop,Reducción de las desigualdades,Mamá y tía ,"Jugar videojuegos, leer y cantar.",Matemáticas e Inglés,Fútbol ,Ingeniero o Neurólogo ,"Que la gente sea honesto, respetuoso y amable.",Sí,Un pequeño diploma en inglés dentro del colegio.,No,No,INIRWNEZ,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet prestado,Estable,No,Bien,Mamá,M,9.0,Cuarto,Surco Ambrosio,Lima,Renovación,Matriculado,2023.0,Ninguno,Académica,IDRZZRZR,INIRWNEZ,BAJO,Académica,Ninguno,Reducción de las desigualdades,Mamá y tía,"Jugar videojuegos, leer y cantar.",Matemáticas e Inglés,Fútbol,Ingeniero o Neurólogo,"Que la gente sea honesto, respetuoso y amable.",Sí,Un pequeño diploma en inglés dentro del colegio.,No,Tercero,Surco 1 - Ambrosio,Académica,18.4,19.2,17.8,18.5,18.9,18.0,18.8,19.3,18.51428571,19.0,APROBADO,BAJO
RWNZZDDW,A menudo,Rara Vez,Muy rara vez,Rara Vez,Muy rara vez,A menudo,Rara Vez,Muy rara vez,Rara Vez,Muy a menudo,A menudo,Muy a menudo,A menudo,Rara vez,A menudo,Rara vez,Muy rara vez,Rara vez,A menudo,Muy a menudo,A menudo,Muy a menudo,Rara vez,Muy a menudo,Muy a menudo,A menudo,Muy rara vez,A menudo,Muy rara vez,A menudo,3,2.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,13,15,23,20,17,88,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,92,85,118,110,100,131,2014-05-27 00:00:00,9,CALLAO 3 - Santa Rosa (REF. cruce Av. Bertello y Bocanegra),4to,Asperger,"Celular, Computadora",Acción por el clima,mis padres y hermana, leer e investigar,"matematicas, ciencias e ingles",natacion,cientifico,hacer muchos colegios para asi mejorar la educacion de los niños,Sí,gane un proyecto de reciclage Rae organizado por entel y tekybreins,no hay nada de que preocuparse,No,IIYEASER,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet propio,Estable,No,"emocionalmente bien, asi como bien de salud , a veces algunas preocupaciones economicas ,pero sabemos salir adelante.",Papá y mamá,M,9.0,Cuarto,Callao Santa Rosa,Lima,Renovación,Matriculado,2022.0,Asperger,Académica,IZYRZYRW,IIYEASER,BAJO,Académica,Asperger,Acción por el clima,mis padres y hermana,leer e investigar,"matematicas, ciencias e ingles",natacion,cientifico,hacer muchos colegios para asi mejorar la educacion de los niños,Sí,gane un proyecto de reciclage Rae organizado por entel y tekybreins,no hay nada de que preocuparse,Tercero,Callao 3 - Santa Rosa,Académica,18.2,17.3,16.5,18.0,18.0,18.0,18.3,18.0,17.75714286,18.0,APROBADO,BAJO
RWWRIDAE,Muy rara vez,Rara Vez,A menudo,A menudo,Rara Vez,Muy rara vez,A menudo,Rara Vez,Rara Vez,A menudo,Rara vez,Rara vez,A menudo,Rara vez,A menudo,Muy rara vez,Rara vez,A menudo,A menudo,Rara vez,Rara vez,A menudo,Rara vez,A menudo,Rara vez,Rara vez,Rara vez,Rara vez,Rara vez,Rara vez,1,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,13,13,18,16,15,75,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,92,77,100,96,90,110,2014-10-19 00:00:00,9,VILLA EL SALVADOR 1- LAS LADERAS DE VILLA (REF. media cuadra del Hospital de la Solidaridad de VES),4to,Ninguno,Celular,Acción por el clima,Con mis padres y hermanos,hacer dibujos y armar cubo rubick,Matematica y educacion fisica,Futbol,me gustaría estudiar robótica,que se mejore las areas verdes ,Sí,ganamos en deporte las olimpiadas.,las clases de ingles.,No,IEWEAIRD,Mamá de Champ,"Sí, tiene otra/o apoderada/o",Sí,Internet propio,Estable,No,"como familia estamos unidos, fortaleciéndonos cada día, en lo económico nos esta afectando la inestabilidad laboral, pero seguimos adelante mientras hay vida hay esperanza","aveces papa o mamá, o hermanos mayores, pero la mayor parte lo realizan solos.",M,9.0,Cuarto,VES Laderas de Villa,Lima,Renovación,Matriculado,2022.0,Ninguno,Académica,WZNDSEZA,IEWEAIRD,BAJO,Académica,Ninguno,Acción por el clima,Con mis padres y hermanos,hacer dibujos y armar cubo rubick,Matematica y educacion fisica,Futbol,me gustaría estudiar robótica,que se mejore las areas verdes,Sí,ganamos en deporte las olimpiadas.,las clases de ingles.,Tercero,Villa El Salvador - Laderas de Villa,Académica,19.1,18.0,15.5,18.0,18.0,18.0,18.3,19.0,17.84285714,18.0,APROBADO,BAJO
RWNYISSE,Muy rara vez,Rara Vez,Muy a menudo,A menudo,Rara Vez,Rara Vez,A menudo,Muy rara vez,Muy rara vez,A menudo,Rara vez,Rara vez,A menudo,Rara vez,Muy a menudo,Rara vez,Muy rara vez,Muy a menudo,Rara vez,Muy rara vez,Rara vez,A menudo,Muy a menudo,A menudo,Rara vez,Rara vez,Muy rara vez,A menudo,A menudo,Rara vez,1,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,14,17,21,16,16,84,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,96,93,111,96,95,125,2014-08-04 00:00:00,9,COMAS 1 - CONDORCANQUI (REF. Una cdra. antes de la Granja Villa Norte),4to,Ninguno,"Celular, Computadora",Salud y bienestar,Con mis padres y hermanos ,Jugar fútbol ,Ciencias ,Fútbol ,Doctor ,Crear un invento que ayude a los más necesitados ,Sí,No ,Agradecer por su apoyo en este año y espero seguir esforzándome ,No,IAYSIWDA,Papá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,Bien en comparación al año pasado estamos mejorando ,Papá y mamá,M,9.0,Cuarto,Comas Condorcanqui,Lima,Renovación,Matriculado,2022.0,Ninguno,Académica,IAYSIWDA,IDEAYSSS,BAJO,Académica,Ninguno,Salud y bienestar,Con mis padres y hermanos,Jugar fútbol,Ciencias,Fútbol,Doctor,Crear un invento que ayude a los más necesitados,Sí,No,Agradecer por su apoyo en este año y espero seguir esforzándome,Tercero,Comas 1 - Condorcanqui,Académica,18.0,18.7,17.3,18.3,18.2,18.0,18.0,18.3,18.07142857,18.0,APROBADO,BAJO
